Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
158,2021-10-27,WSH,,DET,L,OT,Alex Ovechkin,36-040,738,Lars Eller,Anthony Mantha,Thomas Greiss,1,19:05,PP,,Capital One Arena
159,2021-10-25,WSH,@,OTT,W,,Alex Ovechkin,36-038,737,Tom Wilson,,Filip Gustavsson,3,10:46,EV,,Canadian Tire Centre
160,2021-10-25,WSH,@,OTT,W,,Alex Ovechkin,36-038,736,,,Filip Gustavsson,2,16:27,EV,,Canadian Tire Centre
161,2021-10-23,WSH,,CGY,L,OT,Alex Ovechkin,36-036,735,,,Daniel Vladař,2,18:03,EV,,Capital One Arena
162,2021-10-19,WSH,,COL,W,,Alex Ovechkin,36-032,734,Tom Wilson,Evgeny Kuznetsov,,3,17:39,EV,EN,Capital One Arena
163,2021-10-16,WSH,,TBL,L,OT,Alex Ovechkin,36-029,733,Trevor van Riemsdyk,Tom Wilson,Andrei Vasilevskiy,2,18:51,EV,,Capital One Arena
164,2021-10-13,WSH,,NYR,W,,Alex Ovechkin,36-026,732,Evgeny Kuznetsov,Trevor van Riemsdyk,Alexandar Georgiev,3,12:01,SH,,Capital One Arena
165,2021-10-13,WSH,,NYR,W,,Alex Ovechkin,36-026,731,Anthony Mantha,John Carlson,Alexandar Georgiev,3,02:37,PP,,Capital One Arena
166,2021-04-17,WSH,@,PHI,W,,Alex Ovechkin,35-212,730,John Carlson,Evgeny Kuznetsov,Alex Lyon,2,06:15,PP,,Wells Fargo Center
167,2021-04-17,WSH,@,PHI,W,,Alex Ovechkin,35-212,729,John Carlson,Evgeny Kuznetsov,Alex Lyon,1,03:38,PP,,Wells Fargo Center
168,2021-04-13,WSH,,PHI,W,,Alex Ovechkin,35-208,728,Tom Wilson,Conor Sheary,Brian Elliott,3,05:10,PP,,Capital One Arena
